item_name,store_id,scaled_price
nut roast,1,8.62
nut roast,8,15.0
roast ham,1,140.0
butter,1,7.16
turkey,1,6.54
Moet & Chandon Imperial Brut Champagne,1,44.0
bread sauce powder,1,23.8
brussels sprouts,1,1.78
carrots,1,0.69
pigs in blankets fancy,1,15.48
mixed nuts and dried fruit,1,6.0
gravy powder,1,36.0
bunch thyme,1,26.0
sunflower oil,1,2.0
potatoes,1,0.9
sausage meat,1,6.5
parsnips,1,1.5
cheap prosecco,1,5.45
fancy gravy,1,69.0
stuffing dried,1,2.65
veg gravy,1,36.0
pigs in blankets frozen,1,10.4
mulled wine,1,4.0
1 lemon,1,0.3
turkey,2,4.0
bread sauce powder,8,25.0
sausage meat,8,6.43
carrots,8,0.75
brussels sprouts,8,2.8
turkey,8,7.5
pigs in blankets frozen,8,23.9
mixed nuts and dried fruit,8,80.0
1 lemon,8,0.35
pigs in blankets fancy,8,21.83
sunflower oil,8,2.3
veg gravy,8,106.0
fancy gravy,8,9.84
gravy powder,8,58.8
mulled wine,8,5.49
parsnips,8,1.6
Moet & Chandon Imperial Brut Champagne,8,37.99
stuffing dried,8,10.3
potatoes,8,1.05
cheap prosecco,8,7.99
bunch thyme,8,400.0
crackers,8,1.2495
turkey,3,3.0
parsnips,5,1.1
veg gravy,3,50.0
stuffing dried,5,11.5
carrots,3,0.6900000000000001
veg gravy,2,36.0
brussels sprouts,2,1.8
gravy powder,2,36.0
cheap prosecco,2,6.0
nut roast,5,7.2
potatoes,5,0.9
mixed nuts and dried fruit,3,48.0
1 lemon,5,0.17
bread sauce powder,3,22.5
sausage meat,3,5.0
parsnips,3,1.5
stuffing dried,2,2.65
bunch thyme,3,300.0
potatoes,3,4.475
fancy gravy,3,64.3
pigs in blankets fancy,3,14.29
Moet & Chandon Imperial Brut Champagne,3,43.0
mixed nuts and dried fruit,2,80.0
sunflower oil,2,2.0
Moet & Chandon Imperial Brut Champagne,2,44.0
1 lemon,3,0.3
mulled wine,2,3.0
cheap prosecco,3,5.0
bunch thyme,2,26.0
carrots,2,0.69
parsnips,2,1.5
gravy powder,5,23.0
mulled wine,3,2.5
crackers,3,0.625
sausage meat,2,6.25
carrots,5,0.53
1 lemon,2,0.3
brussels sprouts,3,1.7
turkey,5,3.43
cheap prosecco,5,2.99
stuffing dried,3,3.21
potatoes,2,0.95
sausage meat,5,3.73
sunflower oil,5,2.0
bread sauce powder,2,12.9
crackers,2,0.5001
brussels sprouts,5,1.7
fancy gravy,5,4.58
bunch thyme,5,26.0
pigs in blankets frozen,2,11.25
pigs in blankets frozen,5,8.29
nut roast,2,10.94
mulled wine,5,2.39
fancy gravy,2,61.0
veg gravy,5,23.0
pigs in blankets fancy,2,167.0
pigs in blankets frozen,3,9.87
gravy powder,3,44.0
pigs in blankets fancy,5,11.86
crackers,4,0.027489
fancy gravy,4,69.0
sunflower oil,4,2.0
veg gravy,4,50.0
mixed nuts and dried fruit,4,100.0
stuffing dried,4,4.41
gravy powder,4,50.0
potatoes,4,0.98
1 lemon,4,0.3
bunch thyme,4,350.0
pigs in blankets fancy,4,134.0
bread sauce powder,4,22.5
sausage meat,4,8.13
turkey,4,5.0
carrots,4,0.69
parsnips,4,1.5
brussels sprouts,4,1.7
pigs in blankets frozen,4,9.52
nut roast,4,7.48
sunflower oil,2,2.0
crackers,1,2.0
nut roast,3,3.66
mulled wine,4,4.0
cheap prosecco,4,5.0
Moet & Chandon Imperial Brut Champagne,4,44.0
